ItemName;ItemCode;Empresa;CreateDate;UpdateDate;u_coleccion;u_estilo;u_genero;u_descripcion;u_descrip_color;u_division;u_sellitem;BarCode;bot_type
1020752/ARIZONA LENB/41/DESERT BUCK WHALE GRAY;200001324021868;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1020752;MENS;ARIZONA LENB;DESERT BUCK WHALE GRAY;CLASSIC;1;886455000000.0;BIRKEN
1020752/ARIZONA LENB/45/DESERT BUCK WHALE GRAY;200001324022268;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1020752;MENS;ARIZONA LENB;DESERT BUCK WHALE GRAY;CLASSIC;1;886455000000.0;BIRKEN
1020752/ARIZONA LENB/42/DESERT BUCK WHALE GRAY;200001324021968;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1020752;MENS;ARIZONA LENB;DESERT BUCK WHALE GRAY;CLASSIC;1;886455000000.0;BIRKEN
1020752/ARIZONA LENB/43/DESERT BUCK WHALE GRAY;200001324022068;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1020752;MENS;ARIZONA LENB;DESERT BUCK WHALE GRAY;CLASSIC;1;886455000000.0;BIRKEN
1020752/ARIZONA LENB/44/DESERT BUCK WHALE GRAY;200001324022168;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1020752;MENS;ARIZONA LENB;DESERT BUCK WHALE GRAY;CLASSIC;1;886455000000.0;BIRKEN
1023449/BOSTON LE/44/VINTAGE WOOD ROAST;200001334112168;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Seasonal;1023449;MENS;BOSTON LE;VINTAGE WOOD ROAST;ACTIVE;1;887760000000.0;BIRKEN
1023449/BOSTON LE/45/VINTAGE WOOD ROAST;200001334112268;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1023449;MENS;BOSTON LE;VINTAGE WOOD ROAST;ACTIVE;1;887760000000.0;BIRKEN
1028151/ARIZONA LEVE-LEOI/42/THYME;200001434091968;SBO_00_DISRESALV;12/02/2025 0:00;05/05/2025 0:00;Seasonal;1028151;MENS;ARIZONA LEVE-LEOI;THYME;CLASSIC;1;192762000000.0;BIRKEN
1028151/ARIZONA LEVE-LEOI/43/THYME;200001434092068;SBO_00_DISRESALV;12/02/2025 0:00;05/05/2025 0:00;Seasonal;1028151;MENS;ARIZONA LEVE-LEOI;THYME;CLASSIC;1;192762000000.0;BIRKEN
1002314/BOSTON EVA/43/BLACK;140001344052068;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1002314;UNISEX;BOSTON EVA;BLACK;ACTIVE;1;886925000000.0;BIRKEN
1002314/BOSTON EVA/44/BLACK;140001344052168;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;1002314;UNISEX;BOSTON EVA;BLACK;ACTIVE;1;886925000000.0;BIRKEN
159711/BOSTON SFB LEOI/40/HABANA;140001354141768;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Seasonal;159711;UNISEX;BOSTON SFB LEOI;HABANA;CLASSIC;1;886454000000.0;BIRKEN
159711/BOSTON SFB LEOI/41/HABANA;140001354141868;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Seasonal;159711;UNISEX;BOSTON SFB LEOI;HABANA;CLASSIC;1;886454000000.0;BIRKEN
159711/BOSTON SFB LEOI/42/HABANA;140001354141968;SBO_00_DISRESALV;11/02/2025 0:00;27/02/2025 0:00;Seasonal;159711;UNISEX;BOSTON SFB LEOI;HABANA;CLASSIC;1;886454000000.0;BIRKEN
159711/BOSTON SFB LEOI/43/HABANA;140001354142068;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Seasonal;159711;UNISEX;BOSTON SFB LEOI;HABANA;CLASSIC;1;886454000000.0;BIRKEN
52531/ARIZONA LEOI/40/HABANNA;140001364141768;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;52531;UNISEX;ARIZONA LEOI;HABANNA;CLASSIC;1;809410000000.0;BIRKEN
52531/ARIZONA LEOI/41/HABANNA;140001364141868;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;52531;UNISEX;ARIZONA LEOI;HABANNA;CLASSIC;1;809410000000.0;BIRKEN
52531/ARIZONA LEOI/42/HABANNA;140001364141968;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;52531;UNISEX;ARIZONA LEOI;HABANNA;CLASSIC;1;809410000000.0;BIRKEN
52531/ARIZONA LEOI/43/HABANNA;140001364142068;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;52531;UNISEX;ARIZONA LEOI;HABANNA;CLASSIC;1;809410000000.0;BIRKEN
59461/BOSTON LEOI/37/BLACK;140001374051468;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;59461;UNISEX;BOSTON LEOI;BLACK;CLASSIC;1;809411000000.0;BIRKEN
59461/BOSTON LEOI/38/BLACK;140001374051568;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;59461;UNISEX;BOSTON LEOI;BLACK;CLASSIC;1;809411000000.0;BIRKEN
59461/BOSTON LEOI/39/BLACK;140001374051668;SBO_00_DISRESALV;11/02/2025 0:00;27/02/2025 0:00;Core Essential;59461;UNISEX;BOSTON LEOI;BLACK;CLASSIC;1;809411000000.0;BIRKEN
59461/BOSTON LEOI/40/BLACK;140001374051768;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Core Essential;59461;UNISEX;BOSTON LEOI;BLACK;CLASSIC;1;809411000000.0;BIRKEN
59461/BOSTON LEOI/41/BLACK;140001374051868;SBO_00_DISRESALV;11/02/2025 0:00;25/03/2025 0:00;Core Essential;59461;UNISEX;BOSTON LEOI;BLACK;CLASSIC;1;809411000000.0;BIRKEN
59461/BOSTON LEOI/42/BLACK;140001374051968;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Core Essential;59461;UNISEX;BOSTON LEOI;BLACK;CLASSIC;1;809411000000.0;BIRKEN
59461/BOSTON LEOI/43/BLACK;140001374052068;SBO_00_DISRESALV;11/02/2025 0:00;05/05/2025 0:00;Core Essential;59461;UNISEX;BOSTON LEOI;BLACK;CLASSIC;1;809411000000.0;BIRKEN
